smile_A,mol_fraction_A,smile_B,mol_fraction_B
CCCCCCCCCCCCOS(=O)(=O)[O-],0.4,CCCCCCCCCCCCCCCC[N+](C)(C)C,0.6
CCCCCCCCCCCCOS(=O)(=O)[O-],0.4,CCCCCCCCCCOS(=O)(=O)[O-],0.6
CCCCCCCCCCCCOS(=O)(=O)[O-],0.4,CCCCCCCCCCS(C)=O,0.6
CCCCCCCCCCOS(=O)(=O)[O-],0.48,CCCCCCCCCC[N+](C)(C)C,0.52
CCCCCCCCCCCCOS(=O)(=O)[O-],0.4,CCCCCCCC(=O)N(C)CC(O)C(O)C(O)C(O)CO,0.6
CCCCCCCCCCCCOS(=O)(=O)[O-],0.4,CCCCCCCCC(=O)N(C)CC(O)C(O)C(O)C(O)CO,0.6
CCCCCCCCCCCCOS(=O)(=O)[O-],0.4,CCCCCCCCCC(=O)N(C)CC(O)C(O)C(O)C(O)CO,0.6
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.5,CCCCCCCCCCOS(=O)(=O)[O-],0.5
CCCCCCCCCCP(C)(C)=O,0.5,CCCCCCCCCCS(C)=O,0.5
CCCCCCCCCCCC[N+](C)(C)C,0.45,CCCCCCCCCC[N+](C)(C)C,0.55
CCCCCC(=O)[O-],0.5,CCCCCCC(=O)[O-],0.5
CCCCCC(=O)[O-],0.55,CCCCCCCC(=O)[O-],0.45
CCCCCC(=O)[O-],0.397432112,CCCCCCCCCC(=O)[O-],0.602567888
CCCCCC(=O)[O-],0.506772757,CCCCCCCCCCC(=O)[O-],0.493227243
CCCCCC(=O)[O-],0.453827366,CCCCCCCCCCCCCC(=O)[O-],0.546172634
CC(CCC(=O)[O-])C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C,0.5,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCO)cc1,0.5
CC(CCC(=O)[O-])C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C,0.5,CCCCCCCCC=CCCCCCCCC(=O)[O-],0.5
CC(CCC(=O)[O-])C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C,0.5,CCCCCCCC/C=C\CCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.5
CCCCCCCCOC1OC(CO)C(O)C(O)C1O,0.6,O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.4
