smile_A,mol_fraction_A,smile_B,mol_fraction_B
CCCCCCCCCCCCOS(=O)(=O)[O-],0.0,CCCCCCCCCCCCCCCC[N+](C)(C)C,1.0
CCCCCCCCCCCCOS(=O)(=O)[O-],0.1,CCCCCCCCCCCCCCCC[N+](C)(C)C,0.9
CCCCCCCCCCCCOS(=O)(=O)[O-],0.2,CCCCCCCCCCCCCCCC[N+](C)(C)C,0.8
CCCCCCCCCCCCOS(=O)(=O)[O-],0.3,CCCCCCCCCCCCCCCC[N+](C)(C)C,0.7
CCCCCCCCCCCCOS(=O)(=O)[O-],0.4,CCCCCCCCCCCCCCCC[N+](C)(C)C,0.6
CCCCCCCCCCCCOS(=O)(=O)[O-],0.5,CCCCCCCCCCCCCCCC[N+](C)(C)C,0.5
CCCCCCCCCCCCOS(=O)(=O)[O-],0.6,CCCCCCCCCCCCCCCC[N+](C)(C)C,0.4
CCCCCCCCCCCCOS(=O)(=O)[O-],0.7,CCCCCCCCCCCCCCCC[N+](C)(C)C,0.3
CCCCCCCCCCCCOS(=O)(=O)[O-],0.8,CCCCCCCCCCCCCCCC[N+](C)(C)C,0.2
CCCCCCCCCCCCOS(=O)(=O)[O-],0.9,CCCCCCCCCCCCCCCC[N+](C)(C)C,0.1
CCCCCCCCCCCCOS(=O)(=O)[O-],1.0,CCCCCCCCCCCCCCCC[N+](C)(C)C,0.0
CCCCCCCCCCCCOS(=O)(=O)[O-],1.0,CCCCCCCCCCOS(=O)(=O)[O-],0.0
CCCCCCCCCCCCOS(=O)(=O)[O-],0.8,CCCCCCCCCCOS(=O)(=O)[O-],0.2
CCCCCCCCCCCCOS(=O)(=O)[O-],0.65,CCCCCCCCCCOS(=O)(=O)[O-],0.35
CCCCCCCCCCCCOS(=O)(=O)[O-],0.5,CCCCCCCCCCOS(=O)(=O)[O-],0.5
CCCCCCCCCCCCOS(=O)(=O)[O-],0.4,CCCCCCCCCCOS(=O)(=O)[O-],0.6
CCCCCCCCCCCCOS(=O)(=O)[O-],0.29,CCCCCCCCCCOS(=O)(=O)[O-],0.71
CCCCCCCCCCCCOS(=O)(=O)[O-],0.15,CCCCCCCCCCOS(=O)(=O)[O-],0.85
