smile_A,mol_fraction_A,smile_B,mol_fraction_B,logCMC
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],1,2.857332496
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.1,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.9,0.991226076
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.2,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.8,0.991226076
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.3,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.7,0.903089987
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.4,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.6,0.73239376
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.5,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.5,0.716003344
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.6,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.4,0.919078092
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.7,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.3,0.977723605
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.8,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.2,1.029383778
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.9,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.1,1.089905111
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],1,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0,3.892094603
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],1,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],0,3.90601454
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.8,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.2,3.965824382
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.65,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.35,4.009290076
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.5,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.5,4.071284765
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.4,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.6,4.120218098
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.29,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.71,4.195226269
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.15,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.85,4.299854638
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.05,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.95,4.440398448
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],1,4.516016963
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0,CCCCCCCCCCS(=O)C,1,3.204368933
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.2,CCCCCCCCCCS(=O)C,0.8,3.104023275
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.4,CCCCCCCCCCS(=O)C,0.6,3.185289973
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.7,CCCCCCCCCCS(=O)C,0.3,3.332716349
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],1,CCCCCCCCCCS(=O)C,0,3.848217374
CCCCCCCCCCOS(=O)(=O)[O-].[Na+],0,CCCCCCCCCC[N+](C)(C)C.[Br-],1,4.262103211
CCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.03,CCCCCCCCCC[N+](C)(C)C.[Br-],0.97,3.423419006
CCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.08,CCCCCCCCCC[N+](C)(C)C.[Br-],0.92,3.275405257
CCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.16,CCCCCCCCCC[N+](C)(C)C.[Br-],0.84,3.216210148
CCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.28,CCCCCCCCCC[N+](C)(C)C.[Br-],0.72,3.231143552
CCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.48,CCCCCCCCCC[N+](C)(C)C.[Br-],0.52,3.223371592
CCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.7,CCCCCCCCCC[N+](C)(C)C.[Br-],0.3,3.234320372
CCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.8,CCCCCCCCCC[N+](C)(C)C.[Br-],0.2,3.284433987
CCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.9,CCCCCCCCCC[N+](C)(C)C.[Br-],0.1,3.400778555
CCCCCCCCCCOS(=O)(=O)[O-].[Na+],1,CCCCCCCCCC[N+](C)(C)C.[Br-],0,4.693663455
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],1,CCCCCCCC(=O)N(C)CC(C(C(C(CO)O)O)O)O,0,3.883093359
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.8,CCCCCCCC(=O)N(C)CC(C(C(C(CO)O)O)O)O,0.2,3.850033258
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.6,CCCCCCCC(=O)N(C)CC(C(C(C(CO)O)O)O)O,0.4,3.911157609
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.4,CCCCCCCC(=O)N(C)CC(C(C(C(CO)O)O)O)O,0.6,3.91750551
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.2,CCCCCCCC(=O)N(C)CC(C(C(C(CO)O)O)O)O,0.8,4.06069784
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0,CCCCCCCC(=O)N(C)CC(C(C(C(CO)O)O)O)O,1,4.741939078
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],1,CCCCCCCCC(=O)N(C)CC(C(C(C(CO)O)O)O)O,0,3.883093359
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.8,CCCCCCCCC(=O)N(C)CC(C(C(C(CO)O)O)O)O,0.2,3.722633923
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.6,CCCCCCCCC(=O)N(C)CC(C(C(C(CO)O)O)O)O,0.4,3.729974286
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.4,CCCCCCCCC(=O)N(C)CC(C(C(C(CO)O)O)O)O,0.6,3.683947131
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.2,CCCCCCCCC(=O)N(C)CC(C(C(C(CO)O)O)O)O,0.8,3.904715545
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0,CCCCCCCCC(=O)N(C)CC(C(C(C(CO)O)O)O)O,1,4.276461804
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],1,CCCCCCCCCC(=O)N(C)CC(C(C(C(CO)O)O)O)O,0,3.883093359
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.8,CCCCCCCCCC(=O)N(C)CC(C(C(C(CO)O)O)O)O,0.2,3.552668216
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.6,CCCCCCCCCC(=O)N(C)CC(C(C(C(CO)O)O)O)O,0.4,3.474216264
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.4,CCCCCCCCCC(=O)N(C)CC(C(C(C(CO)O)O)O)O,0.6,3.478566496
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.2,CCCCCCCCCC(=O)N(C)CC(C(C(C(CO)O)O)O)O,0.8,3.555094449
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0,CCCCCCCCCC(=O)N(C)CC(C(C(C(CO)O)O)O)O,1,3.783903579
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)[O-].[Na+],0,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],1,4.498452503
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)[O-].[Na+],0.25,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.75,4.551388578
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)[O-].[Na+],0.4,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.6,4.588303764
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)[O-].[Na+],0.5,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.5,4.633214151
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)[O-].[Na+],0.6,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.4,4.606386285
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)[O-].[Na+],0.75,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.25,4.568228583
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)[O-].[Na+],1,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],0,4.519686856
CCCCCCCCCCP(=O)(C)C,1,CCCCCCCCCCS(=O)C,0,3.582861428
CCCCCCCCCCP(=O)(C)C,0.89,CCCCCCCCCCS(=O)C,0.11,3.512686441
CCCCCCCCCCP(=O)(C)C,0.75,CCCCCCCCCCS(=O)C,0.25,3.456033727
CCCCCCCCCCP(=O)(C)C,0.64,CCCCCCCCCCS(=O)C,0.36,3.403409164
CCCCCCCCCCP(=O)(C)C,0.5,CCCCCCCCCCS(=O)C,0.5,3.362925097
CCCCCCCCCCP(=O)(C)C,0.39,CCCCCCCCCCS(=O)C,0.61,3.319807262
CCCCCCCCCCP(=O)(C)C,0.25,CCCCCCCCCCS(=O)C,0.75,3.283491093
CCCCCCCCCCP(=O)(C)C,0.12,CCCCCCCCCCS(=O)C,0.88,3.245563536
CCCCCCCCCCP(=O)(C)C,0,CCCCCCCCCCS(=O)C,1,3.204122234
CCCCCCCCCCCC[N+](C)(C)C.[Br-],0,CCCCCCCCCC[N+](C)(C)C.[Br-],1,4.821506222
CCCCCCCCCCCC[N+](C)(C)C.[Br-],0.1,CCCCCCCCCC[N+](C)(C)C.[Br-],0.9,4.644118858
CCCCCCCCCCCC[N+](C)(C)C.[Br-],0.2,CCCCCCCCCC[N+](C)(C)C.[Br-],0.8,4.548038428
CCCCCCCCCCCC[N+](C)(C)C.[Br-],0.3,CCCCCCCCCC[N+](C)(C)C.[Br-],0.7,4.469400629
CCCCCCCCCCCC[N+](C)(C)C.[Br-],0.45,CCCCCCCCCC[N+](C)(C)C.[Br-],0.55,4.372807029
CCCCCCCCCCCC[N+](C)(C)C.[Br-],0.6,CCCCCCCCCC[N+](C)(C)C.[Br-],0.4,4.316698051
CCCCCCCCCCCC[N+](C)(C)C.[Br-],0.8,CCCCCCCCCC[N+](C)(C)C.[Br-],0.2,4.245792616
CCCCCCCCCCCC[N+](C)(C)C.[Br-],1,CCCCCCCCCC[N+](C)(C)C.[Br-],0,4.180598385
CCCCCC(=O)[O-].[K+],1,CCCCCCC(=O)[O-].[K+],0,6.206006855
CCCCCC(=O)[O-].[K+],0.95,CCCCCCC(=O)[O-].[K+],0.05,6.182142061
CCCCCC(=O)[O-].[K+],0.9,CCCCCCC(=O)[O-].[K+],0.1,6.158992361
CCCCCC(=O)[O-].[K+],0.85,CCCCCCC(=O)[O-].[K+],0.15,6.133798377
CCCCCC(=O)[O-].[K+],0.75,CCCCCCC(=O)[O-].[K+],0.25,6.10626345
CCCCCC(=O)[O-].[K+],0.7,CCCCCCC(=O)[O-].[K+],0.3,6.07686388
CCCCCC(=O)[O-].[K+],0.6,CCCCCCC(=O)[O-].[K+],0.4,6.053429722
CCCCCC(=O)[O-].[K+],0.5,CCCCCCC(=O)[O-].[K+],0.5,6.018147102
CCCCCC(=O)[O-].[K+],0.35,CCCCCCC(=O)[O-].[K+],0.65,5.980797977
CCCCCC(=O)[O-].[K+],0.23,CCCCCCC(=O)[O-].[K+],0.77,5.950231985
CCCCCC(=O)[O-].[K+],0,CCCCCCC(=O)[O-].[K+],1,5.913675466
CCCCCC(=O)[O-].[K+],1,CCCCCCCC(=O)[O-].[K+],0,6.206006855
CCCCCC(=O)[O-].[K+],0.95,CCCCCCCC(=O)[O-].[K+],0.05,6.10705236
CCCCCC(=O)[O-].[K+],0.88,CCCCCCCC(=O)[O-].[K+],0.12,6.020077303
CCCCCC(=O)[O-].[K+],0.75,CCCCCCCC(=O)[O-].[K+],0.25,5.903719856
CCCCCC(=O)[O-].[K+],0.55,CCCCCCCC(=O)[O-].[K+],0.45,5.779200525
CCCCCC(=O)[O-].[K+],0.3,CCCCCCCC(=O)[O-].[K+],0.7,5.690183216
CCCCCC(=O)[O-].[K+],0,CCCCCCCC(=O)[O-].[K+],1,5.591210042
CCCCCC(=O)[O-].[K+],1,CCCCCCCCCC(=O)[O-].[K+],0,6.206006855
CCCCCC(=O)[O-].[K+],0.983884121,CCCCCCCCCC(=O)[O-].[K+],0.016115879,6.028658592
CCCCCC(=O)[O-].[K+],0.964186247,CCCCCCCCCC(=O)[O-].[K+],0.035813753,5.862830409
CCCCCC(=O)[O-].[K+],0.912035708,CCCCCCCCCC(=O)[O-].[K+],0.087964292,5.666930756
CCCCCC(=O)[O-].[K+],0.784799542,CCCCCCCCCC(=O)[O-].[K+],0.215200458,5.455805872
CCCCCC(=O)[O-].[K+],0.646538678,CCCCCCCCCC(=O)[O-].[K+],0.353461322,5.315290767
CCCCCC(=O)[O-].[K+],0.397432112,CCCCCCCCCC(=O)[O-].[K+],0.602567888,5.198409673
CCCCCC(=O)[O-].[K+],0.202462183,CCCCCCCCCC(=O)[O-].[K+],0.797537817,5.121775616
CCCCCC(=O)[O-].[K+],0.003216569,CCCCCCCCCC(=O)[O-].[K+],0.996783431,5.019113275
CCCCCC(=O)[O-].[K+],1,CCCCCCCCCCC(=O)[O-].[K+],0,6.206006855
