smiles,logCMC
CCCCCCCCCCC(C)OCCOCCOCCOCCOCCOCCOCCOCCO,2.048300483
CCCCCCCCCCCC[N+](C)(C)[O-],3.058560586
OCCOCCOCCOCCSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3.447158031
CCCCCCCC(=O)NC1OC(CO)C(O)C(O)C1O,4.84509804
CCCCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CC[N+](C)(C)CC(=O)Nc2ccc(OCCCCCCCCCCCC)cc2)cc1,1.56937391
CCCCCCCCCCCCn1cc[n+](CCC[n+]2ccn(CCCCCCCCCCCC)c2)c1,2.724
CCCCCCCCCCCCCCCCN(C)C(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,0.968482949
Cn1cc[n+](COCCCCOC[n+]2ccn(C)c2)c1,3.78
CCCCCCCCCCCCCCCCC(=O)OCC[n+]1ccc(CCCc2cc[n+](CCOC(=O)CCCCCCCCCCCCCCCC)cc2)cc1,1.74
CCCCCCCCCCCC[NH+]CCO,4.556302501
CCCCCCCCCCCn1cc[n+](COCCCCOC[n+]2ccn(CCCCCCCCCCC)c2)c1,2.87
CCCCCCCCCCCCOCCOS(=O)(=O)[O-],3.591064607
CCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCC[N+](C)(C)CC(=O)Nc2ccc(OCCCCCCCC)cc2)cc1,2.318063335
CCCCCCCCOCCOCCOCCOCCOCCO,3.963787827
CCCCCCCCCC(=O)CC(=O)NC1CCOC1=O,1.986771734
CCCCCCCCCCCC[N+]1(CCCCCCCCCCCCCCCC[N+]2(CCCCCCCCCCCC)CCCC2)CCCC1,1.505
CCCCCCCCCCCCCCCCC(=O)OCC[n+]1ccc(CCCc2cc[n+](CCOC(=O)CCCCCCCCCCCCCCCC)cc2)cc1,1.556
CCCCCCCCn1cc[n+](COCCCOC[n+]2ccn(CCCCCCCC)c2)c1,3.25
CCCCCCCCCCCCOC(=O)C[n+]1ccc(CCCc2cc[n+](CC(=O)OCCCCCCCCCCCC)cc2)cc1,1.556
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCO,1.913813852
